1000 2122
0 14 232
0 19 221
0 20 167
0 21 88
0 22 56
0 23 94
0 33 309
0 35 237
0 39 39
0 45 51
0 47 57
0 49 193
0 52 73
0 79 6
0 83 89
0 91 243
0 92 0
0 105 22
0 116 423
0 132 208
0 138 84
0 148 68
0 149 36
0 151 196
0 152 342
0 155 34
0 156 114
0 167 12
0 174 110
0 177 172
0 179 403
0 181 119
0 228 151
0 229 90
0 241 45
0 243 98
0 244 40
0 245 45
0 247 148
0 254 359
0 262 80
0 275 273
0 277 147
0 284 90
0 286 2
0 291 10
0 292 70
0 296 0
0 300 22
0 303 85
0 312 149
0 313 227
0 316 64
0 318 89
0 321 201
0 325 117
0 326 0
0 340 14
0 357 84
0 370 99
0 374 270
0 376 193
0 379 79
0 381 67
0 383 115
0 390 44
0 423 98
0 436 44
0 438 0
0 445 14
0 446 80
0 447 44
0 455 0
0 464 60
0 470 60
0 478 311
0 492 275
0 495 167
0 497 82
0 498 89
0 517 39
0 522 74
0 528 428
0 536 326
0 539 269
0 555 67
0 557 280
0 562 83
0 565 170
0 573 0
0 575 217
0 578 0
0 584 70
0 589 18
0 592 197
0 595 58
0 597 8
0 598 106
0 606 89
0 610 286
0 622 38
0 630 55
0 647 103
0 657 36
0 668 93
0 672 0
0 678 5
0 679 405
0 693 87
0 698 5
0 701 160
0 702 60
0 711 73
0 725 203
0 741 81
0 754 0
0 758 97
0 760 42
0 765 91
0 767 86
0 776 44
0 780 36
0 802 101
0 805 23
0 815 74
0 816 222
0 820 80
0 835 4
0 839 165
0 842 12
0 843 0
0 848 65
0 867 97
0 875 4
0 883 143
0 893 25
0 897 76
0 899 17
0 903 87
0 910 228
0 912 87
0 917 218
0 925 36
0 927 200
0 935 24
0 936 303
0 945 29
0 948 14
0 953 130
0 957 90
0 970 71
0 979 63
0 980 64
0 989 31
0 994 31
0 996 32
1 576 0
1 790 0
1 920 0
2 353 0
2 456 243
2 817 29
3 999 10
4 999 76
5 974 23
6 100 31
6 352 0
6 825 0
6 878 0
7 855 0
7 874 0
8 973 141
9 941 0
9 942 0
10 184 0
10 483 0
11 114 0
11 590 0
12 218 0
12 363 41
13 999 34
14 66 72
14 507 64
14 963 96
15 540 0
15 730 0
15 792 0
16 111 220
16 733 0
16 833 0
17 407 187
17 453 0
17 580 0
18 505 0
18 607 60
19 828 42
19 909 179
20 127 67
20 891 100
21 158 24
21 841 64
22 999 56
23 51 55
23 643 39
24 857 0
24 896 81
25 642 0
25 656 0
25 728 0
26 259 0
26 574 0
26 793 0
27 337 0
27 410 49
27 554 24
28 580 0
28 654 0
29 113 0
29 341 0
29 968 0
30 999 68
31 481 6
31 955 20
32 273 259
32 299 0
32 594 0
33 501 220
33 665 58
33 746 31
34 649 0
34 710 0
34 974 0
35 577 223
35 990 14
36 688 0
37 230 0
37 271 0
38 67 98
38 547 0
38 851 0
39 999 39
40 599 0
40 799 10
41 88 0
41 993 82
42 294 0
42 311 0
42 393 0
43 634 0
44 508 0
44 552 0
44 916 0
45 430 51
46 638 39
46 652 0
47 60 57
48 369 0
48 786 0
49 103 95
49 160 98
49 941 0
50 137 0
50 503 0
50 719 0
51 894 149
52 768 73
53 664 106
53 871 105
53 947 0
54 546 0
54 731 0
55 107 0
55 770 0
56 817 0
57 809 0
58 18 0
58 195 14
58 496 0
59 123 0
59 636 0
59 653 0
59 821 0
60 215 0
60 289 57
60 988 0
61 471 0
62 999 76
63 124 0
64 143 0
65 94 167
65 978 0
66 36 0
66 135 0
66 391 72
66 751 0
67 11 0
67 686 193
67 694 0
68 999 108
69 475 0
69 580 0
69 871 0
70 250 0
70 709 0
71 432 45
71 556 0
72 401 87
73 264 0
74 841 0
75 12 0
75 336 0
76 993 0
77 540 0
78 999 88
79 108 6
80 459 0
80 722 0
81 999 76
82 999 127
83 82 89
83 502 0
84 516 7
84 690 0
84 722 0
85 999 39
86 414 0
87 178 0
87 260 0
87 384 0
87 987 0
88 406 0
88 682 0
89 999 18
90 749 98
91 295 243
91 812 0
92 716 0
93 743 0
94 999 184
95 145 0
96 999 64
97 697 0
98 756 98
98 972 0
99 794 0
100 999 31
101 178 0
101 932 0
102 375 0
102 458 0
102 866 0
103 999 95
104 642 0
105 999 22
106 58 0
106 459 0
106 752 0
107 508 0
107 856 0
108 139 16
109 344 0
110 576 130
111 999 220
112 134 0
112 869 98
113 65 108
113 386 0
114 115 0
114 509 0
115 139 0
115 404 0
116 699 245
116 714 93
116 986 85
117 306 0
117 457 0
118 28 0
118 484 0
118 558 67
118 616 0
118 794 0
118 833 0
118 847 0
119 576 0
119 680 101
120 107 0
121 335 130
121 661 0
122 999 82
123 999 140
124 44 0
125 999 188
126 999 91
127 287 67
128 104 0
128 850 0
129 999 130
130 322 0
131 366 0
131 481 16
132 189 50
132 961 0
132 987 158
133 128 0
133 844 0
134 604 0
135 131 16
135 364 24
136 845 0
137 617 0
137 708 0
137 998 0
138 307 52
138 350 32
138 550 0
139 623 0
139 762 127
139 959 0
140 999 60
141 671 0
141 688 0
141 715 0
141 720 0
141 748 0
141 956 0
142 472 0
142 494 0
142 859 58
143 214 49
143 616 0
143 791 0
143 809 0
143 964 20
144 735 0
145 726 0
145 891 0
146 42 0
147 146 0
147 212 0
148 560 58
148 568 10
149 999 36
150 264 0
150 572 0
150 823 0
151 365 66
151 814 130
152 483 126
152 504 180
152 937 36
153 999 164
154 329 0
154 650 0
154 870 0
155 263 34
156 788 85
156 975 29
157 258 0
158 543 24
158 759 0
159 600 144
160 206 127
161 173 0
161 278 0
161 282 0
161 537 0
162 787 0
163 999 56
164 266 0
165 391 0
165 830 128
165 913 0
166 489 75
167 999 12
168 328 0
168 425 63
168 656 0
168 759 0
169 274 0
169 315 0
169 968 0
170 2 0
171 341 0
171 395 27
172 900 0
173 55 0
173 342 0
173 890 0
174 236 22
174 336 88
174 353 0
175 119 69
175 742 13
176 29 0
176 500 0
177 288 141
177 435 31
177 687 0
178 40 10
178 885 0
179 160 29
179 306 135
179 556 63
179 585 103
179 929 73
180 86 0
